input_text,response_text
कैसे हईं,सब बढ़िया बा
बच्चा बीमार बा,डॉक्टर क दिखाईं
बारिश कब होई,मौसम विभाग के खबर देखीं
कैसे हईं,ठीक ठाक बानी
शादी कब होई,समय आवे पर सब होई
खेती कब करब,मौसम देखिके खेती करीं
राम राम,ईश्वर के किरपा से ठीक बानी
शादी कब होई,समय आवे पर सब होई
तबियत ठीक नाहीं बा,डॉक्टर से सलाह लीं अउर आराम करीं
नमस्ते,ठीक ठाक बानी
बच्चा बीमार बा,डॉक्टर क दिखाईं
नौकरी चाहीं,कौशल सीखीं अउर कोशिश जारी रखीं
राम राम,सब बढ़िया बा
मन घबरात बा,गहरी साँस लीं अउर शांति रखीं
बच्चा बीमार बा,डॉक्टर क दिखाईं
प्रणाम,"हम ठीक बानी, रउआ बताईं"
मन उदास बा,"चिंता मत करीं, सब ठीक होई"
तबियत ठीक नाहीं बा,डॉक्टर से सलाह लीं अउर आराम करीं
कैसे हईं,ईश्वर के किरपा से ठीक बानी
मन उदास बा,"चिंता मत करीं, सब ठीक होई"
मन उदास बा,"चिंता मत करीं, सब ठीक होई"
प्रणाम,ईश्वर के किरपा से ठीक बानी
मन घबरात बा,गहरी साँस लीं अउर शांति रखीं
शादी कब होई,समय आवे पर सब होई
का हाल बा,ठीक ठाक बानी
गाँव मा बिजली नाहीं बा,बिजली विभाग से संपर्क करीं
मन घबरात बा,गहरी साँस लीं अउर शांति रखीं
का हाल बा,ईश्वर के किरपा से ठीक बानी
नौकरी चाहीं,कौशल सीखीं अउर कोशिश जारी रखीं
तबियत ठीक नाहीं बा,डॉक्टर से सलाह लीं अउर आराम करीं
राम राम,"हम ठीक बानी, रउआ बताईं"
नौकरी चाहीं,कौशल सीखीं अउर कोशिश जारी रखीं
शादी कब होई,समय आवे पर सब होई
कैसे हईं,सब बढ़िया बा
नौकरी चाहीं,कौशल सीखीं अउर कोशिश जारी रखीं
बारिश कब होई,मौसम विभाग के खबर देखीं
प्रणाम,सब बढ़िया बा
गाँव मा बिजली नाहीं बा,बिजली विभाग से संपर्क करीं
गाँव मा बिजली नाहीं बा,बिजली विभाग से संपर्क करीं
प्रणाम,सब बढ़िया बा
नौकरी चाहीं,कौशल सीखीं अउर कोशिश जारी रखीं
तबियत ठीक नाहीं बा,डॉक्टर से सलाह लीं अउर आराम करीं
प्रणाम,ठीक ठाक बानी
शादी कब होई,समय आवे पर सब होई
तबियत ठीक नाहीं बा,डॉक्टर से सलाह लीं अउर आराम करीं
नमस्ते,"हम ठीक बानी, रउआ बताईं"
खेती कब करब,मौसम देखिके खेती करीं
शादी कब होई,समय आवे पर सब होई
का हाल बा,सब बढ़िया बा
मन उदास बा,"चिंता मत करीं, सब ठीक होई"
मन घबरात बा,गहरी साँस लीं अउर शांति रखीं
राम राम,"हम ठीक बानी, रउआ बताईं"
शादी कब होई,समय आवे पर सब होई
मन घबरात बा,गहरी साँस लीं अउर शांति रखीं
प्रणाम,"हम ठीक बानी, रउआ बताईं"
